AR,San Lorenzo,-28.13306,-58.76733,47626,America/Argentina/Cordoba
AR,San Javier,-30.57781,-59.9317,15606,America/Argentina/Cordoba
AR,San Isidro,-34.47145,-58.50776,45190,America/Argentina/Buenos_Aires
AR,Saladas,-28.25384,-58.62591,18349,America/Argentina/Cordoba
AR,Retiro,-34.58333,-58.38333,38635,America/Argentina/Buenos_Aires
AR,Resistencia,-27.46056,-58.98389,387158,America/Argentina/Cordoba
AR,Reconquista,-29.15,-59.65,90184,America/Argentina/Cordoba
AR,Quilmes,-34.72418,-58.25265,518788,America/Argentina/Buenos_Aires
AR,Puerto Rico,-26.79598,-55.02402,17491,America/Argentina/Cordoba
AR,Puerto Iguazu,-25.59912,-54.57355,32038,America/Argentina/Cordoba
AR,Puerto Esperanza,-26.01517,-54.67306,15579,America/Argentina/Cordoba
AR,Puerto Eldorado,-26.40842,-54.69463,54189,America/Argentina/Cordoba
AR,Posadas,-27.36708,-55.89608,312060,America/Argentina/Cordoba
AR,Pontevedra,-34.74974,-58.68696,33515,America/Argentina/Buenos_Aires
AR,Pirane,-25.73239,-59.10879,19124,America/Argentina/Cordoba
AR,Paso de los Libres,-29.71311,-57.08991,43805,America/Argentina/Cordoba
AR,Obera,-27.48706,-55.11994,56528,America/Argentina/Cordoba
AR,Necochea,-38.54726,-58.73675,80478,America/Argentina/Buenos_Aires
AR,Moron,-34.65344,-58.61975,319934,America/Argentina/Buenos_Aires
AR,Monte Caseros,-30.25359,-57.63626,24671,America/Argentina/Cordoba
AR,Montecarlo,-26.5662,-54.757,22229,America/Argentina/Cordoba
AR,Mercedes,-34.65146,-59.43068,52949,America/Argentina/Buenos_Aires
AR,Mercedes,-29.18186,-58.07895,30649,America/Argentina/Cordoba
AR,Mar del Plata,-38.00228,-57.55754,553935,America/Argentina/Buenos_Aires
AR,Lujan,-34.57028,-59.105,81749,America/Argentina/Buenos_Aires
AR,La Plata,-34.92145,-57.95453,694167,America/Argentina/Buenos_Aires
AR,La Paz,-30.74485,-59.64566,24716,America/Argentina/Cordoba
AR,Jardin America,-27.04346,-55.22698,24905,America/Argentina/Cordoba
AR,Gualeguaychu,-33.00938,-58.51722,78676,America/Argentina/Cordoba
AR,Gualeguay,-33.14156,-59.30966,33120,America/Argentina/Cordoba
AR,Goya,-29.14003,-59.26256,70245,America/Argentina/Cordoba
AR,Gobernador Ingeniero Valentin Virasoro,-28.05,-56.03333,28756,America/Argentina/Cordoba
AR,General Jose de San Martin,-26.53743,-59.34158,31758,America/Argentina/Cordoba
AR,Garupa,-27.48171,-55.82921,28814,America/Argentina/Cordoba
AR,Formosa,-26.17753,-58.17814,221383,America/Argentina/Cordoba
AR,Fontana,-27.41813,-59.02392,26745,America/Argentina/Cordoba
AR,Federal,-30.95465,-58.78326,16333,America/Argentina/Cordoba
AR,Esquina,-30.01444,-59.52719,26399,America/Argentina/Cordoba
AR,El Soberbio,-27.29846,-54.19877,19571,America/Argentina/Cordoba
AR,Dolores,-36.31322,-57.67918,25190,America/Argentina/Buenos_Aires
AR,Curuzu Cuatia,-29.79171,-58.0546,36390,America/Argentina/Cordoba
AR,Corrientes,-27.4806,-58.8341,339067,America/Argentina/Cordoba
AR,Concordia,-31.39296,-58.02089,145210,America/Argentina/Cordoba
AR,Concepcion del Uruguay,-32.48249,-58.23722,67895,America/Argentina/Cordoba
AR,Colegiales,-34.57365,-58.44924,57000,America/Argentina/Buenos_Aires
AR,Chajari,-30.75048,-57.97962,30655,America/Argentina/Cordoba
AR,Campana,-34.16874,-58.95914,81612,America/Argentina/Buenos_Aires
AR,Buenos Aires,-34.61315,-58.37723,13076300,America/Argentina/Buenos_Aires
AR,Barranqueras,-27.48299,-58.93579,50823,America/Argentina/Cordoba
AR,Azul,-36.77698,-59.85854,53941,America/Argentina/Buenos_Aires
AR,Avellaneda,-29.11761,-59.65834,23077,America/Argentina/Cordoba
AR,Aristobulo del Valle,-27.09625,-54.89626,20683,America/Argentina/Cordoba
AR,Zapala,-38.89916,-70.05442,31534,America/Argentina/Salta
AR,Yerba Buena,-26.81667,-65.31667,50783,America/Argentina/Tucuman
AR,Villa Regina,-39.1,-67.06667,31209,America/Argentina/Salta
AR,Villa Paula de Sarmiento,-31.4933,-68.53838,19092,America/Argentina/San_Juan
AR,Villa Nueva,-32.43293,-63.24763,16841,America/Argentina/Cordoba
AR,Villa Maria,-32.40751,-63.24016,92453,America/Argentina/Cordoba
AR,Villa Dolores,-31.94585,-65.18958,28009,America/Argentina/Cordoba
AR,Villa Constitucion,-33.22778,-60.3297,44271,America/Argentina/Cordoba
AR,Villa Carlos Paz,-31.42414,-64.49778,69451,America/Argentina/Cordoba
AR,Villa Angela,-27.57383,-60.71526,43511,America/Argentina/Cordoba
AR,Villa Allende,-31.29458,-64.29538,21683,America/Argentina/Cordoba
AR,Viedma,-40.81345,-62.99668,48940,America/Argentina/Salta
AR,Victoria,-32.61841,-60.15478,25139,America/Argentina/Cordoba
AR,Vera,-29.4593,-60.21261,19797,America/Argentina/Cordoba
AR,Venado Tuerto,-33.74556,-61.96884,72340,America/Argentina/Cordoba
AR,Veinticinco de Mayo,-35.4323,-60.17271,24668,America/Argentina/Buenos_Aires
AR,Ushuaia,-54.8,-68.3,58028,America/Argentina/Ushuaia
AR,Unquillo,-31.23073,-64.31615,15369,America/Argentina/Cordoba
AR,Tres Isletas,-26.34066,-60.43207,24747,America/Argentina/Cordoba
AR,Tres Arroyos,-38.37394,-60.27978,47136,America/Argentina/Buenos_Aires
AR,Trelew,-43.24895,-65.30505,93442,America/Argentina/Catamarca
AR,Termas de Rio Hondo,-27.49983,-64.86042,27838,America/Argentina/Cordoba
AR,Tartagal,-22.51636,-63.80131,60819,America/Argentina/Salta
AR,Tafi Viejo,-26.73201,-65.25921,48459,America/Argentina/Tucuman
AR,Sunchales,-30.94404,-61.56148,18757,America/Argentina/Cordoba
AR,Santo Tome,-31.66274,-60.7653,59072,America/Argentina/Cordoba
